City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
8,Namatanai,PG,78.67,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
10,Vaini,TO,75.88,overcast clouds,-21.2,-175.2,Keleti Beach Resort
14,Maxixe,MZ,78.62,broken clouds,-23.8597,35.3472,Oceano
21,Butaritari,KI,81.3,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
27,Hilo,US,86.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
30,Bensonville,LR,80.2,light rain,6.4461,-10.6125,Moinga
31,Korla,CN,78.64,overcast clouds,41.7597,86.1469,Gulisitan Hotel
37,Itarema,BR,84.13,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
40,Saint-Francois,FR,83.68,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
41,Sarakhs,IR,82.54,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
45,Waw,SS,76.89,light rain,7.7029,27.9953,Universal Gab Hotel
49,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
53,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
59,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
62,Syracuse,IT,76.59,clear sky,37.0881,15.2792,Hotel Posta
64,Atuona,PF,77.09,few clouds,-9.8,-139.0333,Villa Enata
66,Jamestown,US,78.39,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
70,Boyolangu,ID,75.07,overcast clouds,-8.1181,111.8935,Yos ega cv
72,Isangel,VU,77.04,light rain,-19.55,169.2667,Tanna Lodge
82,Bengkulu,ID,76.37,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
84,Ocean Springs,US,87.78,clear sky,30.4113,-88.8278,Golden Nugget Biloxi Hotel & Casino
85,Coahuayana,MX,87.73,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
88,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
91,Keti Bandar,PK,82.71,clear sky,24.1447,67.4497,Haji laloo memon house
93,Riberalta,BO,79.0,broken clouds,-10.9833,-66.1,Hotel Colonial
94,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
104,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
105,Vanimo,PG,78.04,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
108,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
116,Dingle,PH,77.86,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
118,Cockburn Town,TC,84.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
119,Bonneville,FR,80.96,overcast clouds,46.0802,6.4073,Hotel Bellevue
120,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
124,Bandarbeyla,SO,80.98,broken clouds,9.4942,50.8122,JABIR HOTEL
126,Binodegahan,PH,78.1,overcast clouds,13.0614,123.4579,RNT Pension House
141,Hithadhoo,MV,83.43,overcast clouds,-0.6,73.0833,Scoop Guest House
146,Tarbes,FR,77.47,clear sky,43.25,0.1667,Quelle Vue (Gite Rural)
147,Fuerte Olimpo,PY,76.28,clear sky,-21.0415,-57.8738,Hospedaje DAMI
148,Buala,SB,79.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
155,Hesperia,US,82.08,scattered clouds,34.4264,-117.3009,High Desert Inn
162,Quatre Cocos,MU,76.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
170,Chiredzi,ZW,75.25,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
171,Auki,SB,76.44,few clouds,-8.7676,160.7034,Auki Motel
172,San-Pedro,CI,79.03,moderate rain,4.7485,-6.6363,Hotel Maria
173,Piacabucu,BR,75.9,light rain,-10.4056,-36.4344,Piaçabuçu News
175,Touros,BR,85.71,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
176,Kalmunai,LK,83.79,broken clouds,7.4167,81.8167,VS Villa
177,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
179,Manokwari,ID,78.42,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
180,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
181,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
194,Aloleng,PH,78.84,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
195,Lata,PT,88.92,overcast clouds,40.1629,-8.3327,Casa Maquia
196,Manicore,BR,82.35,clear sky,-5.8092,-61.3003,Hotel Durval
198,Mumford,GH,82.27,overcast clouds,5.2618,-0.759,Spanish Villa
201,Biak,ID,76.73,overcast clouds,-0.9131,122.8766,Penginapan Kim
203,Manta,EC,82.18,broken clouds,-0.95,-80.7333,Balandra Hotel
204,Tamandare,BR,82.51,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
209,Port Blair,IN,82.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
213,Urucui,BR,77.58,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
216,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
217,Axim,GH,79.99,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
224,Monroe,US,76.98,broken clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
228,George Town,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
229,Awbari,LY,88.7,clear sky,26.5921,12.7805,فندق أوباري
230,Ravar,IR,83.28,clear sky,31.2656,56.8055,computertik
231,Kavieng,PG,82.17,light rain,-2.5744,150.7967,Nusa Island Retreat
235,Salamanca,ES,87.58,overcast clouds,40.8333,-6.0,Palacio Carrascalino
236,Rosa Zarate,EC,82.42,overcast clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
241,Sailana,IN,88.59,clear sky,23.4667,74.9167,Krishna Marriage Garden Sailana
250,Victoria,HK,80.19,few clouds,22.2855,114.1577,Mini Central
255,Mindelo,CV,78.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
256,Cayenne,GF,81.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
257,Muros,ES,81.16,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
258,Gboko,NG,80.64,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
261,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
262,Castelo Do Piaui,BR,82.0,broken clouds,-5.3222,-41.5525,Nobre Hotel
273,Bontang,ID,78.17,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
276,Fruitville,US,88.18,few clouds,27.3298,-82.4576,Hampton Inn Sarasota - I-75 Bee Ridge
278,Kununurra,AU,78.78,clear sky,-15.7667,128.7333,Hotel Kununurra
280,Soyo,AO,77.58,broken clouds,-6.1349,12.3689,Hotel Mpampa
288,Porto-Vecchio,FR,78.46,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
291,Phillipsburg,US,80.85,broken clouds,40.6937,-75.1902,Grand Eastonian Hotel & Suites
293,Mineros,BO,77.32,few clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
294,Jacareacanga,BR,86.74,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
