City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mattru,7.6244,-11.8332,75.76,96,100,0.78,SL,2022-05-19 00:50:16
1,Bethel,41.3712,-73.414,63.43,52,100,1.48,US,2022-05-19 00:50:16
2,Nome,64.5011,-165.4064,40.15,86,100,9.22,US,2022-05-19 00:50:17
3,Tuktoyaktuk,69.4541,-133.0374,32.0,93,100,12.66,CA,2022-05-19 00:50:17
4,Vaini,-21.2,-175.2,78.96,83,40,6.91,TO,2022-05-19 00:50:18
5,Laurel,39.0993,-76.8483,68.59,66,0,4.61,US,2022-05-19 00:49:06
6,Albany,42.6001,-73.9662,57.16,56,99,3.18,US,2022-05-19 00:49:43
7,Esfarayen,37.0765,57.5101,49.66,74,2,3.4,IR,2022-05-19 00:50:18
8,Torbat-E Jam,35.244,60.6225,65.93,52,0,12.15,IR,2022-05-19 00:50:19
9,Torbay,47.6666,-52.7314,52.57,84,20,10.36,CA,2022-05-19 00:50:19
10,Narsaq,60.9167,-46.05,36.39,83,17,2.48,GL,2022-05-19 00:50:20
11,Leningradskiy,69.3833,178.4167,34.7,99,100,1.79,RU,2022-05-19 00:50:20
12,Tasiilaq,65.6145,-37.6368,35.42,94,100,6.8,GL,2022-05-19 00:50:21
13,Luderitz,-26.6481,15.1594,60.85,80,87,9.13,NA,2022-05-19 00:50:21
14,Bluff,-46.6,168.3333,52.81,66,21,22.1,NZ,2022-05-19 00:50:22
15,Khatanga,71.9667,102.5,33.12,100,100,5.61,RU,2022-05-19 00:50:22
16,Rikitea,-23.1203,-134.9692,76.84,76,100,15.21,PF,2022-05-19 00:47:30
17,Jamestown,42.097,-79.2353,51.39,92,100,6.91,US,2022-05-19 00:49:34
18,Castro,-24.7911,-50.0119,43.88,89,100,11.88,BR,2022-05-19 00:50:23
19,Kaitangata,-46.2817,169.8464,55.44,65,100,9.37,NZ,2022-05-19 00:50:23
20,Saint-Philippe,-21.3585,55.7679,67.59,75,34,9.86,RE,2022-05-19 00:50:24
21,Angoram,-4.0625,144.0661,90.63,57,32,1.41,PG,2022-05-19 00:50:24
